"Zaman damgası","Name","Email","Stellar wallet address (starts with G...)","How would you rate  Stellar Crowdfund?","Your feedback &suggestions (optional)"
"2026/07/07 6:08:13 ÖS GMT+3","Selin Aydın","selin.aydinn@gmail.com","GBSPMPV4U7VXX2QPDYVXTYKU74WI2ASQEXXHOALXYH5CQHOQI6Y2GRHK","5","İşlem ücretlerini bizim yerimize platform karşılayabilse (fee sponsorship) cüzdana XLM yükleme derdi kalmazdı, çok daha hızlı bağış yapabilirdik."
"2026/07/07 6:08:22 ÖS GMT+3","Berkay Şen","berkay.sen66@gmail.com","GDAKMB6Z3V66GRFMNX6ZHTPSPBU6LTO455V452KD7SIYF7IIJB7BK2R6","4","Stellar ekosistemine büyük katkı sağlayacak bir proje."
"2026/07/07 6:08:25 ÖS GMT+3","Emre Aslan","emre.aslan92@gmail.com","GAWBP66M4NN7PY26J4DWI54ORGL4HC5GMHSQ46GSKCCQWKQNKWPRSOKL","4","Arayüz çok kullanıcı dostu, elinize sağlık."
"2026/07/07 6:08:33 ÖS GMT+3","Büşra Yıldırım","busra.yildirim88@gmail.com","GCE4E63PNJ4MWGUOX2SQTLNCQKYF4OZDDJTSQKOVYP6VRYO5GCWANX3V","4","Gerçekten güzel bir deneyim, herkese tavsiye ederim."
"2026/07/07 6:08:52 ÖS GMT+3","Deniz Tuna","deniz.tuna41@gmail.com","GCWZYXJNQGCTWO2REFB4IRGFCUKJIMR4OMLBY26BSU7QGTDKG6VFUMSG","5","Team ekibi çok yetenekli, proje çok profesyonel."
"2026/07/07 6:08:52 ÖS GMT+3","Elif Şahin","elif.sahin21@gmail.com","GDJSQT3XDC3O7Q6SGEI64A7JSOCFVNC7E6YLEVAQGFW66EDSSYPGRZ2V","5","Kitle fonlamasında şeffaflık en önemli şey, bu proje bunu sağlıyor."
"2026/07/07 6:09:01 ÖS GMT+3","İlayda Yaman","ilayda.yaman29@gmail.com","GDL6Y3SZOWWPARHQOZCZBKMQCDRJD2WI22QICIYVJVPUCJ64PTXUOUC6","5","Stellar üzerinde böyle bir proje görmek harika!"
"2026/07/07 6:09:09 ÖS GMT+3","Burak Çelik","burak.celik12@gmail.com","GC2CON4ILSSKPOMM2D55B36GOP4Z5H6JASD26Q6WFKCTCXD7WSSTEBXU","5","Bir sonraki milestone'ı sabırsızlıkla bekliyorum!"
"2026/07/07 6:09:23 ÖS GMT+3","Serkan Güzel","serkan.guzel56@gmail.com","GAXGK6PMLTKDAHAZX7HNO3I7GO6MO7SUEVNPEVCZO4XTC3YRALE5FZVX","5","Bağışçı dostu bir sistem, gerçekten güven veriyor."
"2026/07/07 6:09:23 ÖS GMT+3","Seda Özkan","seda.ozkan41@gmail.com","GD3DDS2VJC6SQ7U5MH6DFXZDKJGFFOSS23NLONICI62NSV34WFLFHWLE","5","Milestone sonunda NFT kazanmak harika bir fikir."
